# Constructed from biom file
#OTU ID	SRR3545898_bracken	SRR3545910_bracken	SRR3545919_bracken	SRR3545934_bracken	SRR3545941_bracken	SRR3545948_bracken	SRR3545955_bracken	SRR3545963_bracken	SRR3546351_bracken	SRR3546354_bracken	SRR3546356_bracken	SRR3546358_bracken	SRR3546361_bracken	SRR3546363_bracken	SRR3546365_bracken	SRR3546367_bracken	SRR3546371_bracken	SRR3546373_bracken	SRR3546375_bracken	SRR3546378_bracken	SRR3546380_bracken	SRR3546382_bracken	SRR3546384_bracken	taxonomy
1747	508539.0	157975.0	499743.0	1754633.0	670588.0	532567.0	629915.0	442918.0	118109.0	967942.0	236955.0	1483790.0	4474099.0	652391.0	598993.0	512406.0	1086040.0	147882.0	1675083.0	93366.0	1270720.0	214568.0	45732.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__acnes
33011	12895.0	4712.0	16021.0	28781.0	13298.0	10783.0	11267.0	9705.0	3113.0	16762.0	5981.0	53951.0	81636.0	12876.0	7018.0	29640.0	22433.0	5828.0	32559.0	2774.0	28739.0	5141.0	641.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__granulosum
33010	1589.0	1497.0	2707.0	3035.0	2006.0	2366.0	1369.0	1441.0	304.0	1904.0	1297.0	5115.0	8833.0	1576.0	859.0	3727.0	2415.0	996.0	10852.0	648.0	2990.0	649.0	276.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__avidum
671223	3317.0	3021.0	5519.0	5780.0	33221.0	9637.0	2563.0	7324.0	715.0	4826.0	3694.0	46405.0	20677.0	7224.0	3992.0	4349.0	14306.0	1395.0	19643.0	3286.0	16677.0	469.0	455.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__sp. oral taxon 193
1744	75.0	372.0	649.0	880.0	141.0	530.0	309.0	685.0	22.0	138.0	494.0	199.0	2960.0	251.0	330.0	842.0	144.0	267.0	1445.0	196.0	182.0	269.0	106.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__freudenreichii
556499	33.0	180.0	909.0	428.0	79.0	381.0	314.0	180.0	92.0	130.0	926.0	88.0	1207.0	130.0	371.0	300.0	99.0	169.0	517.0	84.0	632.0	148.0	21.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__acidifaciens
2161816	207.0	624.0	856.0	376.0	115.0	828.0	372.0	467.0	14.0	120.0	748.0	661.0	390.0	292.0	168.0	1088.0	204.0	774.0	1708.0	330.0	95.0	415.0	257.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__sp. Marseille-P5995
1610493	93.0	276.0	325.0	1269.0	18.0	402.0	949.0	1358.0	0.0	8.0	188.0	49.0	67.0	1033.0	274.0	2011.0	41.0	217.0	2973.0	140.0	32.0	197.0	45.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__flavus
399497	70.0	244.0	489.0	482.0	51.0	333.0	263.0	540.0	9.0	99.0	268.0	313.0	314.0	274.0	285.0	624.0	166.0	285.0	1120.0	158.0	98.0	126.0	68.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__flavescens
1909732	53.0	203.0	265.0	616.0	16.0	346.0	277.0	601.0	2.0	19.0	207.0	43.0	69.0	624.0	369.0	1057.0	31.0	120.0	1211.0	185.0	23.0	212.0	35.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__sp. T2.5-30
