# Constructed from biom file
#OTU ID	CAMDA2019_03TXLrIna_1_annon.fastq_bracken	CAMDA2019_03TXLrIna_2_annon.fastq_bracken	CAMDA2019_1Vapy1lcu_1_annon.fastq_bracken	CAMDA2019_1Vapy1lcu_2_annon.fastq_bracken	CAMDA2019_42XlKWBJx_annon.fastq_bracken	CAMDA2019_4GiLTLyqL_1_annon.fastq_bracken	CAMDA2019_4GiLTLyqL_2_annon.fastq_bracken	CAMDA2019_5KtJjcn26_annon.fastq_bracken	CAMDA2019_6K2P8XNab_1_annon.fastq_bracken	CAMDA2019_6K2P8XNab_2_annon.fastq_bracken	CAMDA2019_7Il968vhk_annon.fastq_bracken	CAMDA2019_9kW8J4Ev5_annon.fastq_bracken	CAMDA2019_9UxNkBsUB_1_annon.fastq_bracken	CAMDA2019_9UxNkBsUB_2_annon.fastq_bracken	CAMDA2019_A4Tkn3dX9_1_annon.fastq_bracken	CAMDA2019_A4Tkn3dX9_2_annon.fastq_bracken	CAMDA2019_ajObxR7P1_1_annon.fastq_bracken	CAMDA2019_ajObxR7P1_2_annon.fastq_bracken	CAMDA2019_B6hDSOaff_1_annon.fastq_bracken	CAMDA2019_B6hDSOaff_2_annon.fastq_bracken	CAMDA2019_bAPBY3AHh_1_annon.fastq_bracken	CAMDA2019_bAPBY3AHh_2_annon.fastq_bracken	CAMDA2019_c1SjrQHf7_1_annon.fastq_bracken	CAMDA2019_c1SjrQHf7_2_annon.fastq_bracken	CAMDA2019_cA45yrbCp_1_annon.fastq_bracken	CAMDA2019_cA45yrbCp_2_annon.fastq_bracken	CAMDA2019_cKL7xX3EZ_1_annon.fastq_bracken	CAMDA2019_cKL7xX3EZ_2_annon.fastq_bracken	CAMDA2019_CL1lI9nin_1_annon.fastq_bracken	CAMDA2019_CL1lI9nin_2_annon.fastq_bracken	CAMDA2019_F7waXDwRV_1_annon.fastq_bracken	CAMDA2019_F7waXDwRV_2_annon.fastq_bracken	CAMDA2019_fDcwHrLnA_1_annon.fastq_bracken	CAMDA2019_fDcwHrLnA_2_annon.fastq_bracken	CAMDA2019_FjWGW2m0N_annon.fastq_bracken	CAMDA2019_gBzRKJUuM_annon.fastq_bracken	CAMDA2019_hATTKoyv0_1_annon.fastq_bracken	CAMDA2019_hATTKoyv0_2_annon.fastq_bracken	CAMDA2019_hPJCTIwqO_1_annon.fastq_bracken	CAMDA2019_hPJCTIwqO_2_annon.fastq_bracken	CAMDA2019_HRyMKBUym_1_annon.fastq_bracken	CAMDA2019_HRyMKBUym_2_annon.fastq_bracken	CAMDA2019_IxiSbR8Vi_1_annon.fastq_bracken	CAMDA2019_IxiSbR8Vi_2_annon.fastq_bracken	CAMDA2019_K1IvsMwZ0_1_annon.fastq_bracken	CAMDA2019_K1IvsMwZ0_2_annon.fastq_bracken	CAMDA2019_KqVcbm3UA_annon.fastq_bracken	CAMDA2019_KRyPpwwID_1_annon.fastq_bracken	CAMDA2019_KRyPpwwID_2_annon.fastq_bracken	CAMDA2019_lpQTWz3am_1_annon.fastq_bracken	CAMDA2019_lpQTWz3am_2_annon.fastq_bracken	CAMDA2019_LPVcbq3pE_annon.fastq_bracken	CAMDA2019_LWrSv4rYd_annon.fastq_bracken	CAMDA2019_m6hxFn1Sb_annon.fastq_bracken	CAMDA2019_MFF61azo4_1_annon.fastq_bracken	CAMDA2019_MFF61azo4_2_annon.fastq_bracken	CAMDA2019_MspIkAOzT_1_annon.fastq_bracken	CAMDA2019_MspIkAOzT_2_annon.fastq_bracken	CAMDA2019_OHdXt0n93_1_annon.fastq_bracken	CAMDA2019_OHdXt0n93_2_annon.fastq_bracken	CAMDA2019_OSU080x0L_1_annon.fastq_bracken	CAMDA2019_OSU080x0L_2_annon.fastq_bracken	CAMDA2019_PoTC9MGmE_1_annon.fastq_bracken	CAMDA2019_PoTC9MGmE_2_annon.fastq_bracken	CAMDA2019_PZBrtdqbc_1_annon.fastq_bracken	CAMDA2019_PZBrtdqbc_2_annon.fastq_bracken	CAMDA2019_QKhKiZiNe_annon.fastq_bracken	CAMDA2019_QNO6ArzjQ_1_annon.fastq_bracken	CAMDA2019_QNO6ArzjQ_2_annon.fastq_bracken	CAMDA2019_qSkX1R2Gz_1_annon.fastq_bracken	CAMDA2019_qSkX1R2Gz_2_annon.fastq_bracken	CAMDA2019_RDEZTuFJ0_1_annon.fastq_bracken	CAMDA2019_RDEZTuFJ0_2_annon.fastq_bracken	CAMDA2019_rridyqqZl_annon.fastq_bracken	CAMDA2019_S12fkE31f_1_annon.fastq_bracken	CAMDA2019_S12fkE31f_2_annon.fastq_bracken	CAMDA2019_Srryjh9fm_annon.fastq_bracken	CAMDA2019_SuTczAky8_annon.fastq_bracken	CAMDA2019_TLo8GTgZS_annon.fastq_bracken	CAMDA2019_tm5oSy4uY_annon.fastq_bracken	CAMDA2019_TxgbavT9X_annon.fastq_bracken	CAMDA2019_uZFjEK4hm_annon.fastq_bracken	CAMDA2019_V8PJQlOng_1_annon.fastq_bracken	CAMDA2019_V8PJQlOng_2_annon.fastq_bracken	CAMDA2019_w3hK8f0sn_annon.fastq_bracken	CAMDA2019_wJsZolv7O_1_annon.fastq_bracken	CAMDA2019_wJsZolv7O_2_annon.fastq_bracken	CAMDA2019_Xianr4bpE_1_annon.fastq_bracken	CAMDA2019_Xianr4bpE_2_annon.fastq_bracken	CAMDA2019_y3hl8NLXD_annon.fastq_bracken	CAMDA2019_ya8Lwujnu_1_annon.fastq_bracken	CAMDA2019_ya8Lwujnu_2_annon.fastq_bracken	CAMDA2019_yDYzpI6z0_1_annon.fastq_bracken	CAMDA2019_yDYzpI6z0_2_annon.fastq_bracken	CAMDA2019_YwEqI6j3T_1_annon.fastq_bracken	CAMDA2019_YwEqI6j3T_2_annon.fastq_bracken	CAMDA2019_Z6k4utsJA_1_annon.fastq_bracken	CAMDA2019_Z6k4utsJA_2_annon.fastq_bracken	CAMDA2019_zEyFbEnFu_1_annon.fastq_bracken	CAMDA2019_zEyFbEnFu_2_annon.fastq_bracken	taxonomy
9604	1687013.0	1670231.0	817588.0	818900.0	3806415.0	1532873.0	1670843.0	983327.0	1699242.0	2156542.0	2459697.0	1375793.0	1443178.0	1460754.0	2448806.0	3060626.0	6037606.0	6153002.0	628436.0	628385.0	341171.0	407371.0	157081.0	256239.0	832058.0	826419.0	2346904.0	2577621.0	343086.0	332384.0	527873.0	674038.0	421407.0	684217.0	763323.0	3753116.0	97237.0	30928.0	368113.0	392258.0	994223.0	993039.0	1903785.0	1869553.0	448195.0	482831.0	1288409.0	2835832.0	2744233.0	2097669.0	2718695.0	2105830.0	835626.0	2865432.0	679424.0	734254.0	537861.0	602041.0	120392.0	169106.0	9380535.0	9316145.0	108958.0	191824.0	1641815.0	2078591.0	4145069.0	4181947.0	4316513.0	780527.0	799978.0	2743930.0	2931160.0	1712604.0	434189.0	479927.0	1545334.0	2775757.0	4381946.0	2053180.0	1058027.0	3477912.0	319381.0	289197.0	1278059.0	1268635.0	1370979.0	209704.0	280626.0	1196263.0	7783185.0	7736950.0	379259.0	782088.0	190937.0	194119.0	1041660.0	1025296.0	1775660.0	1857859.0	k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__; s__
3977	615.0	530.0	1423.0	1501.0	1734.0	210.0	203.0	771.0	4234.0	10121.0	2056.0	12883.0	2221.0	2248.0	3981.0	4760.0	1672.0	1743.0	8620.0	8425.0	5284.0	5521.0	400.0	564.0	4102.0	4054.0	3418.0	3618.0	12221.0	12306.0	1406.0	1892.0	1369.0	1697.0	16563.0	4433.0	129.0	95.0	1262.0	1234.0	2711.0	2681.0	203.0	223.0	512.0	486.0	876.0	190.0	187.0	2702.0	3379.0	1155.0	3100.0	4622.0	2857.0	2712.0	584.0	646.0	701.0	868.0	413.0	398.0	1271.0	1929.0	6141.0	7667.0	1655.0	2580.0	2666.0	4926.0	4902.0	1667.0	1647.0	899.0	388.0	402.0	2465.0	1794.0	2083.0	1915.0	1467.0	2155.0	557.0	509.0	1228.0	1423.0	1543.0	1816.0	4018.0	3674.0	1155.0	1139.0	4135.0	6213.0	198.0	212.0	1425.0	1219.0	1171.0	1139.0	k__Eukaryota; p__Streptophyta; c__; o__Malpighiales; f__Euphorbiaceae; g__; s__
31957	106865.0	98606.0	58516.0	54774.0	507957.0	17544.0	17010.0	189580.0	48662.0	46877.0	226734.0	14019.0	67930.0	66664.0	13395.0	12432.0	1036724.0	1007870.0	9645.0	7425.0	16349.0	15281.0	1604.0	1477.0	77174.0	75033.0	212433.0	204904.0	41091.0	38892.0	7678.0	6089.0	107294.0	104739.0	16001.0	116170.0	1391.0	1286.0	37124.0	35407.0	388653.0	380449.0	282230.0	274428.0	34886.0	33888.0	51173.0	31405.0	29902.0	71214.0	69703.0	210399.0	186195.0	262975.0	512243.0	501109.0	9836.0	9523.0	9585.0	1372.0	19907.0	19417.0	5820.0	1517.0	43463.0	42221.0	163926.0	384994.0	374766.0	157050.0	153923.0	222304.0	215932.0	381673.0	21919.0	21197.0	18845.0	392642.0	321159.0	312273.0	86840.0	315281.0	3346.0	3162.0	87443.0	225278.0	220267.0	12367.0	10420.0	220257.0	391786.0	382786.0	26834.0	24276.0	7016.0	6797.0	341614.0	333952.0	104217.0	99496.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__; s__
85015	1663.0	1033.0	6516.0	5902.0	44745.0	211.0	169.0	1558.0	14570.0	13311.0	47254.0	10245.0	926.0	869.0	23838.0	23078.0	6004.0	5490.0	6480.0	5937.0	40538.0	37801.0	1381.0	1298.0	4314.0	4052.0	28812.0	25404.0	19193.0	17770.0	14322.0	13558.0	9506.0	8848.0	47443.0	14109.0	149.0	139.0	13635.0	12587.0	20252.0	18613.0	1647.0	1517.0	2299.0	2082.0	44316.0	5047.0	4781.0	30030.0	27322.0	41300.0	3365.0	38473.0	13510.0	12475.0	3042.0	2916.0	1453.0	884.0	1828.0	1691.0	2671.0	2087.0	21360.0	19834.0	27083.0	14598.0	13310.0	15973.0	14651.0	6757.0	6027.0	5780.0	1314.0	1212.0	12678.0	43995.0	14877.0	33821.0	56582.0	42952.0	1271.0	1164.0	6427.0	9805.0	9237.0	5781.0	5108.0	3986.0	5557.0	5042.0	10441.0	9546.0	1081.0	998.0	15777.0	14711.0	7183.0	6195.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__; s__
1268	18915.0	15338.0	44967.0	42504.0	169068.0	7489.0	7202.0	121944.0	49192.0	45634.0	228520.0	34914.0	102620.0	96957.0	79325.0	77453.0	102778.0	98474.0	10103.0	9125.0	13478.0	12469.0	3012.0	2885.0	151727.0	147055.0	140652.0	129730.0	9058.0	8356.0	2428.0	1903.0	54481.0	53244.0	144746.0	66574.0	906.0	832.0	17913.0	17087.0	249118.0	242950.0	25905.0	25211.0	23483.0	22023.0	154625.0	13638.0	12927.0	78740.0	73185.0	114240.0	50277.0	218949.0	69087.0	67139.0	30004.0	29092.0	3822.0	805.0	9560.0	8994.0	3992.0	2268.0	80409.0	74522.0	198413.0	79030.0	74948.0	36773.0	35613.0	37851.0	35892.0	89499.0	35060.0	32722.0	98444.0	247145.0	266134.0	297934.0	116791.0	103447.0	5301.0	5126.0	116671.0	44439.0	43212.0	11575.0	10605.0	177543.0	57084.0	54730.0	5171.0	4281.0	47898.0	45077.0	136216.0	132458.0	53539.0	48279.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__; s__
85023	2648.0	1646.0	17616.0	16487.0	41062.0	627.0	578.0	2324.0	17065.0	15836.0	53897.0	11983.0	1520.0	1423.0	21008.0	20150.0	7476.0	6854.0	12912.0	12140.0	25163.0	23474.0	2395.0	2338.0	9194.0	8764.0	34869.0	31187.0	12297.0	11454.0	9814.0	8955.0	8767.0	8352.0	52406.0	17708.0	204.0	183.0	25310.0	23960.0	25431.0	24304.0	2286.0	2198.0	2340.0	2158.0	132756.0	57581.0	54280.0	33803.0	31255.0	99099.0	11628.0	39771.0	12753.0	12154.0	3882.0	3755.0	6790.0	5671.0	2207.0	2046.0	1864.0	1295.0	25957.0	23924.0	28597.0	17845.0	16261.0	10030.0	9371.0	8411.0	7641.0	7123.0	2256.0	1985.0	20716.0	62262.0	24077.0	42766.0	114569.0	49468.0	1353.0	1295.0	10513.0	6434.0	6223.0	3947.0	3478.0	6485.0	6747.0	6185.0	12638.0	11536.0	1409.0	1275.0	13731.0	12990.0	7207.0	6323.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__; s__
145357	1237.0	933.0	1658.0	1530.0	22646.0	563.0	533.0	2807.0	577.0	520.0	28864.0	481.0	956.0	919.0	1730.0	1643.0	6362.0	6122.0	342.0	299.0	415.0	359.0	363.0	360.0	7073.0	6831.0	4066.0	3843.0	391.0	359.0	938.0	868.0	3530.0	3440.0	1100.0	963.0	75.0	64.0	1411.0	1359.0	5160.0	4966.0	577.0	567.0	603.0	575.0	8458.0	973.0	923.0	1187.0	1119.0	7145.0	2274.0	45867.0	9353.0	9092.0	421.0	421.0	247.0	26.0	144.0	143.0	207.0	67.0	665.0	590.0	33928.0	5670.0	5395.0	644.0	602.0	2406.0	2265.0	10698.0	276.0	267.0	1375.0	25271.0	27833.0	40073.0	12347.0	8825.0	354.0	332.0	17099.0	1039.0	997.0	2273.0	2136.0	13750.0	2970.0	2855.0	239.0	172.0	436.0	413.0	3147.0	3016.0	1374.0	1262.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Dermacoccaceae; g__; s__
85021	986.0	632.0	1832.0	1644.0	9259.0	381.0	349.0	2032.0	5100.0	4567.0	8641.0	2451.0	1601.0	1520.0	3651.0	3485.0	12147.0	11585.0	1054.0	908.0	3712.0	3434.0	298.0	297.0	8017.0	7557.0	15409.0	13888.0	1797.0	1647.0	364.0	326.0	2395.0	2279.0	12351.0	4813.0	54.0	52.0	1607.0	1541.0	14499.0	13979.0	799.0	766.0	1248.0	1125.0	9820.0	95219.0	92190.0	7522.0	6993.0	8197.0	7303.0	7463.0	10164.0	9785.0	1012.0	931.0	317.0	58.0	714.0	605.0	362.0	205.0	6421.0	5879.0	7801.0	13388.0	12369.0	2520.0	2390.0	5201.0	4797.0	12547.0	633.0	552.0	7451.0	7548.0	9064.0	7332.0	7097.0	6315.0	530.0	501.0	3582.0	2699.0	2581.0	950.0	837.0	6008.0	7256.0	6859.0	994.0	849.0	996.0	921.0	6385.0	6140.0	3198.0	2874.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__; s__
85020	650.0	466.0	1306.0	1194.0	4063.0	141.0	126.0	1789.0	3882.0	3547.0	7610.0	2360.0	918.0	855.0	2741.0	2623.0	4975.0	4575.0	1000.0	922.0	1075.0	1036.0	163.0	150.0	4809.0	4504.0	13057.0	11584.0	583.0	520.0	759.0	699.0	1156.0	1087.0	10457.0	6950.0	28.0	27.0	676.0	639.0	5514.0	5097.0	570.0	540.0	977.0	866.0	10960.0	1906.0	1785.0	12204.0	11344.0	10898.0	1806.0	5231.0	1757.0	1709.0	778.0	774.0	160.0	23.0	1047.0	992.0	148.0	65.0	7404.0	6739.0	8987.0	5707.0	5181.0	1202.0	1151.0	7066.0	6305.0	8185.0	671.0	613.0	7141.0	5055.0	9627.0	7920.0	4294.0	8475.0	180.0	171.0	3109.0	1049.0	1013.0	234.0	208.0	4682.0	3544.0	3289.0	929.0	849.0	1043.0	935.0	2827.0	2658.0	2304.0	1956.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__; s__
85019	233.0	154.0	556.0	496.0	1384.0	59.0	56.0	289.0	719.0	670.0	1387.0	2919.0	407.0	401.0	782.0	747.0	3267.0	3069.0	306.0	306.0	206.0	201.0	37.0	36.0	820.0	752.0	2459.0	2240.0	222.0	216.0	89.0	73.0	449.0	438.0	1821.0	955.0	9.0	13.0	244.0	226.0	1127.0	1078.0	656.0	626.0	205.0	191.0	1444.0	632.0	602.0	1877.0	1828.0	2679.0	732.0	1955.0	1843.0	1800.0	171.0	173.0	75.0	6.0	431.0	419.0	44.0	17.0	843.0	772.0	8555.0	1543.0	1438.0	319.0	303.0	3858.0	3657.0	739.0	138.0	126.0	995.0	1248.0	8541.0	3029.0	1196.0	905.0	69.0	58.0	1132.0	1073.0	1049.0	53.0	30.0	822.0	911.0	859.0	358.0	318.0	100.0	90.0	2077.0	1974.0	431.0	410.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__; s__
