# Constructed from biom file
#OTU ID	CAMDA2019_03TXLrIna_1_annon.fastq_bracken	CAMDA2019_03TXLrIna_2_annon.fastq_bracken	CAMDA2019_1Vapy1lcu_1_annon.fastq_bracken	CAMDA2019_1Vapy1lcu_2_annon.fastq_bracken	CAMDA2019_42XlKWBJx_annon.fastq_bracken	CAMDA2019_4GiLTLyqL_1_annon.fastq_bracken	CAMDA2019_4GiLTLyqL_2_annon.fastq_bracken	CAMDA2019_5KtJjcn26_annon.fastq_bracken	CAMDA2019_6K2P8XNab_1_annon.fastq_bracken	CAMDA2019_6K2P8XNab_2_annon.fastq_bracken	CAMDA2019_7Il968vhk_annon.fastq_bracken	CAMDA2019_9kW8J4Ev5_annon.fastq_bracken	CAMDA2019_9UxNkBsUB_1_annon.fastq_bracken	CAMDA2019_9UxNkBsUB_2_annon.fastq_bracken	CAMDA2019_A4Tkn3dX9_1_annon.fastq_bracken	CAMDA2019_A4Tkn3dX9_2_annon.fastq_bracken	CAMDA2019_ajObxR7P1_1_annon.fastq_bracken	CAMDA2019_ajObxR7P1_2_annon.fastq_bracken	CAMDA2019_B6hDSOaff_1_annon.fastq_bracken	CAMDA2019_B6hDSOaff_2_annon.fastq_bracken	CAMDA2019_bAPBY3AHh_1_annon.fastq_bracken	CAMDA2019_bAPBY3AHh_2_annon.fastq_bracken	CAMDA2019_c1SjrQHf7_1_annon.fastq_bracken	CAMDA2019_c1SjrQHf7_2_annon.fastq_bracken	CAMDA2019_cA45yrbCp_1_annon.fastq_bracken	CAMDA2019_cA45yrbCp_2_annon.fastq_bracken	CAMDA2019_cKL7xX3EZ_1_annon.fastq_bracken	CAMDA2019_cKL7xX3EZ_2_annon.fastq_bracken	CAMDA2019_CL1lI9nin_1_annon.fastq_bracken	CAMDA2019_CL1lI9nin_2_annon.fastq_bracken	CAMDA2019_F7waXDwRV_1_annon.fastq_bracken	CAMDA2019_F7waXDwRV_2_annon.fastq_bracken	CAMDA2019_fDcwHrLnA_1_annon.fastq_bracken	CAMDA2019_fDcwHrLnA_2_annon.fastq_bracken	CAMDA2019_FjWGW2m0N_annon.fastq_bracken	CAMDA2019_gBzRKJUuM_annon.fastq_bracken	CAMDA2019_hATTKoyv0_1_annon.fastq_bracken	CAMDA2019_hATTKoyv0_2_annon.fastq_bracken	CAMDA2019_hPJCTIwqO_1_annon.fastq_bracken	CAMDA2019_hPJCTIwqO_2_annon.fastq_bracken	CAMDA2019_HRyMKBUym_1_annon.fastq_bracken	CAMDA2019_HRyMKBUym_2_annon.fastq_bracken	CAMDA2019_IxiSbR8Vi_1_annon.fastq_bracken	CAMDA2019_IxiSbR8Vi_2_annon.fastq_bracken	CAMDA2019_K1IvsMwZ0_1_annon.fastq_bracken	CAMDA2019_K1IvsMwZ0_2_annon.fastq_bracken	CAMDA2019_KqVcbm3UA_annon.fastq_bracken	CAMDA2019_KRyPpwwID_1_annon.fastq_bracken	CAMDA2019_KRyPpwwID_2_annon.fastq_bracken	CAMDA2019_lpQTWz3am_1_annon.fastq_bracken	CAMDA2019_lpQTWz3am_2_annon.fastq_bracken	CAMDA2019_LPVcbq3pE_annon.fastq_bracken	CAMDA2019_LWrSv4rYd_annon.fastq_bracken	CAMDA2019_m6hxFn1Sb_annon.fastq_bracken	CAMDA2019_MFF61azo4_1_annon.fastq_bracken	CAMDA2019_MFF61azo4_2_annon.fastq_bracken	CAMDA2019_MspIkAOzT_1_annon.fastq_bracken	CAMDA2019_MspIkAOzT_2_annon.fastq_bracken	CAMDA2019_OHdXt0n93_1_annon.fastq_bracken	CAMDA2019_OHdXt0n93_2_annon.fastq_bracken	CAMDA2019_OSU080x0L_1_annon.fastq_bracken	CAMDA2019_OSU080x0L_2_annon.fastq_bracken	CAMDA2019_PoTC9MGmE_1_annon.fastq_bracken	CAMDA2019_PoTC9MGmE_2_annon.fastq_bracken	CAMDA2019_PZBrtdqbc_1_annon.fastq_bracken	CAMDA2019_PZBrtdqbc_2_annon.fastq_bracken	CAMDA2019_QKhKiZiNe_annon.fastq_bracken	CAMDA2019_QNO6ArzjQ_1_annon.fastq_bracken	CAMDA2019_QNO6ArzjQ_2_annon.fastq_bracken	CAMDA2019_qSkX1R2Gz_1_annon.fastq_bracken	CAMDA2019_qSkX1R2Gz_2_annon.fastq_bracken	CAMDA2019_RDEZTuFJ0_1_annon.fastq_bracken	CAMDA2019_RDEZTuFJ0_2_annon.fastq_bracken	CAMDA2019_rridyqqZl_annon.fastq_bracken	CAMDA2019_S12fkE31f_1_annon.fastq_bracken	CAMDA2019_S12fkE31f_2_annon.fastq_bracken	CAMDA2019_Srryjh9fm_annon.fastq_bracken	CAMDA2019_SuTczAky8_annon.fastq_bracken	CAMDA2019_TLo8GTgZS_annon.fastq_bracken	CAMDA2019_tm5oSy4uY_annon.fastq_bracken	CAMDA2019_TxgbavT9X_annon.fastq_bracken	CAMDA2019_uZFjEK4hm_annon.fastq_bracken	CAMDA2019_V8PJQlOng_1_annon.fastq_bracken	CAMDA2019_V8PJQlOng_2_annon.fastq_bracken	CAMDA2019_w3hK8f0sn_annon.fastq_bracken	CAMDA2019_wJsZolv7O_1_annon.fastq_bracken	CAMDA2019_wJsZolv7O_2_annon.fastq_bracken	CAMDA2019_Xianr4bpE_1_annon.fastq_bracken	CAMDA2019_Xianr4bpE_2_annon.fastq_bracken	CAMDA2019_y3hl8NLXD_annon.fastq_bracken	CAMDA2019_ya8Lwujnu_1_annon.fastq_bracken	CAMDA2019_ya8Lwujnu_2_annon.fastq_bracken	CAMDA2019_yDYzpI6z0_1_annon.fastq_bracken	CAMDA2019_yDYzpI6z0_2_annon.fastq_bracken	CAMDA2019_YwEqI6j3T_1_annon.fastq_bracken	CAMDA2019_YwEqI6j3T_2_annon.fastq_bracken	CAMDA2019_Z6k4utsJA_1_annon.fastq_bracken	CAMDA2019_Z6k4utsJA_2_annon.fastq_bracken	CAMDA2019_zEyFbEnFu_1_annon.fastq_bracken	CAMDA2019_zEyFbEnFu_2_annon.fastq_bracken	taxonomy
9605	1687013.0	1670231.0	817588.0	818900.0	3806415.0	1532873.0	1670843.0	983327.0	1699242.0	2156542.0	2459697.0	1375793.0	1443178.0	1460754.0	2448806.0	3060626.0	6037606.0	6153002.0	628436.0	628385.0	341171.0	407371.0	157081.0	256239.0	832058.0	826419.0	2346904.0	2577621.0	343086.0	332384.0	527873.0	674038.0	421407.0	684217.0	763323.0	3753116.0	97237.0	30928.0	368113.0	392258.0	994223.0	993039.0	1903785.0	1869553.0	448195.0	482831.0	1288409.0	2835832.0	2744233.0	2097669.0	2718695.0	2105830.0	835626.0	2865432.0	679424.0	734254.0	537861.0	602041.0	120392.0	169106.0	9380535.0	9316145.0	108958.0	191824.0	1641815.0	2078591.0	4145069.0	4181947.0	4316513.0	780527.0	799978.0	2743930.0	2931160.0	1712604.0	434189.0	479927.0	1545334.0	2775757.0	4381946.0	2053180.0	1058027.0	3477912.0	319381.0	289197.0	1278059.0	1268635.0	1370979.0	209704.0	280626.0	1196263.0	7783185.0	7736950.0	379259.0	782088.0	190937.0	194119.0	1041660.0	1025296.0	1775660.0	1857859.0	k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__
3987	615.0	530.0	1423.0	1501.0	1734.0	210.0	203.0	771.0	4234.0	10121.0	2056.0	12883.0	2221.0	2248.0	3981.0	4760.0	1672.0	1743.0	8620.0	8425.0	5284.0	5521.0	400.0	564.0	4102.0	4054.0	3418.0	3618.0	12221.0	12306.0	1406.0	1892.0	1369.0	1697.0	16563.0	4433.0	129.0	95.0	1262.0	1234.0	2711.0	2681.0	203.0	223.0	512.0	486.0	876.0	190.0	187.0	2702.0	3379.0	1155.0	3100.0	4622.0	2857.0	2712.0	584.0	646.0	701.0	868.0	413.0	398.0	1271.0	1929.0	6141.0	7667.0	1655.0	2580.0	2666.0	4926.0	4902.0	1667.0	1647.0	899.0	388.0	402.0	2465.0	1794.0	2083.0	1915.0	1467.0	2155.0	557.0	509.0	1228.0	1423.0	1543.0	1816.0	4018.0	3674.0	1155.0	1139.0	4135.0	6213.0	198.0	212.0	1425.0	1219.0	1171.0	1139.0	k__Eukaryota; p__Streptophyta; c__; o__Malpighiales; f__Euphorbiaceae; g__Ricinus; s__
1912216	100935.0	93016.0	55945.0	52383.0	486612.0	15678.0	15214.0	177792.0	44117.0	42519.0	215545.0	6454.0	65916.0	64638.0	7943.0	7263.0	1014969.0	985286.0	8507.0	6407.0	11143.0	10329.0	1247.0	1144.0	71544.0	69468.0	196693.0	190006.0	38478.0	36485.0	7112.0	5622.0	103938.0	101398.0	5778.0	110452.0	1243.0	1151.0	35319.0	33655.0	379152.0	370791.0	276761.0	268776.0	33205.0	32287.0	42342.0	27564.0	26278.0	64989.0	63760.0	199354.0	172090.0	252791.0	502425.0	491007.0	8596.0	8318.0	9122.0	1268.0	19129.0	18606.0	5448.0	1353.0	36715.0	35832.0	154916.0	372644.0	362609.0	151154.0	148016.0	215538.0	209275.0	369852.0	21123.0	20404.0	11087.0	376978.0	300255.0	297115.0	77052.0	299655.0	2289.0	2124.0	82892.0	216989.0	212042.0	11676.0	9836.0	210644.0	381999.0	372828.0	25256.0	22844.0	6384.0	6193.0	331330.0	323794.0	99777.0	95222.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__
1743	3409.0	3253.0	536.0	452.0	5431.0	1474.0	1412.0	7399.0	228.0	232.0	1736.0	4106.0	474.0	465.0	886.0	800.0	4853.0	4658.0	135.0	118.0	282.0	272.0	158.0	147.0	1608.0	1547.0	1333.0	1211.0	190.0	165.0	145.0	138.0	531.0	511.0	395.0	423.0	83.0	80.0	247.0	240.0	1412.0	1396.0	576.0	559.0	259.0	251.0	1040.0	823.0	767.0	620.0	614.0	1430.0	9750.0	1687.0	827.0	798.0	436.0	415.0	189.0	26.0	74.0	65.0	120.0	27.0	308.0	279.0	1991.0	1633.0	1589.0	1368.0	1347.0	1710.0	1615.0	4070.0	90.0	83.0	575.0	3492.0	8757.0	4134.0	1289.0	3302.0	790.0	781.0	1065.0	3152.0	3071.0	135.0	94.0	3427.0	1832.0	1733.0	386.0	350.0	48.0	46.0	1881.0	1830.0	584.0	545.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__
72763	161.0	118.0	603.0	578.0	1365.0	50.0	48.0	994.0	2069.0	1993.0	1547.0	1750.0	371.0	353.0	1588.0	1519.0	1513.0	1437.0	318.0	299.0	2140.0	2016.0	45.0	45.0	2225.0	2192.0	8575.0	7865.0	425.0	380.0	110.0	97.0	531.0	504.0	6752.0	2595.0	6.0	9.0	455.0	445.0	1117.0	1122.0	130.0	133.0	700.0	654.0	2408.0	1433.0	1334.0	2985.0	2844.0	2162.0	457.0	1563.0	508.0	505.0	228.0	225.0	42.0	12.0	307.0	307.0	50.0	24.0	4512.0	4275.0	1542.0	4455.0	4169.0	676.0	642.0	1397.0	1307.0	1929.0	319.0	302.0	5281.0	2015.0	1456.0	1658.0	2014.0	1586.0	55.0	62.0	1115.0	428.0	398.0	104.0	87.0	2283.0	1559.0	1485.0	167.0	134.0	326.0	322.0	1405.0	1324.0	1429.0	1270.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__
1912217	127.0	106.0	90.0	80.0	116.0	27.0	27.0	239.0	979.0	943.0	264.0	100.0	68.0	67.0	517.0	512.0	748.0	696.0	16.0	12.0	42.0	40.0	18.0	19.0	203.0	202.0	210.0	205.0	21.0	19.0	42.0	37.0	73.0	74.0	71.0	318.0	7.0	7.0	107.0	103.0	409.0	384.0	235.0	221.0	35.0	32.0	193.0	189.0	199.0	191.0	181.0	195.0	179.0	243.0	316.0	309.0	56.0	51.0	6.0	1.0	35.0	36.0	5.0	4.0	116.0	105.0	321.0	309.0	283.0	226.0	215.0	263.0	248.0	273.0	20.0	17.0	41.0	227.0	1158.0	181.0	183.0	205.0	42.0	40.0	99.0	244.0	241.0	18.0	13.0	433.0	785.0	715.0	108.0	98.0	18.0	15.0	442.0	428.0	57.0	59.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Pseudopropionibacterium; s__
29404	54.0	30.0	170.0	143.0	1587.0	3.0	1.0	20.0	231.0	187.0	1931.0	586.0	41.0	36.0	748.0	701.0	264.0	232.0	229.0	207.0	1184.0	1127.0	30.0	23.0	77.0	69.0	919.0	809.0	652.0	588.0	34.0	26.0	329.0	298.0	831.0	288.0	16.0	8.0	143.0	109.0	723.0	682.0	57.0	53.0	52.0	53.0	2091.0	651.0	582.0	543.0	456.0	2096.0	117.0	1377.0	533.0	495.0	90.0	91.0	37.0	6.0	39.0	38.0	48.0	41.0	453.0	402.0	970.0	387.0	366.0	559.0	529.0	261.0	217.0	199.0	35.0	34.0	426.0	1761.0	649.0	1060.0	2449.0	2202.0	25.0	22.0	293.0	334.0	291.0	97.0	91.0	79.0	176.0	173.0	254.0	217.0	53.0	43.0	585.0	522.0	335.0	272.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Microlunatus; s__
1912215	29.0	17.0	74.0	72.0	168.0	9.0	7.0	78.0	74.0	60.0	189.0	218.0	68.0	63.0	746.0	746.0	148.0	138.0	36.0	46.0	107.0	87.0	24.0	22.0	104.0	110.0	642.0	596.0	52.0	51.0	13.0	13.0	70.0	65.0	205.0	92.0	4.0	3.0	31.0	33.0	138.0	131.0	53.0	51.0	48.0	48.0	327.0	62.0	67.0	100.0	88.0	251.0	574.0	139.0	63.0	65.0	217.0	210.0	14.0	2.0	6.0	10.0	11.0	9.0	119.0	103.0	279.0	248.0	229.0	63.0	58.0	119.0	117.0	326.0	10.0	11.0	366.0	231.0	256.0	188.0	249.0	298.0	35.0	34.0	104.0	60.0	67.0	47.0	54.0	95.0	110.0	103.0	20.0	25.0	13.0	9.0	136.0	130.0	145.0	125.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Acidipropionibacterium; s__
1278221	28.0	20.0	106.0	112.0	412.0	5.0	3.0	28.0	189.0	164.0	475.0	160.0	7.0	6.0	203.0	191.0	62.0	47.0	93.0	75.0	462.0	440.0	22.0	20.0	37.0	32.0	288.0	253.0	267.0	219.0	22.0	19.0	101.0	83.0	934.0	312.0	1.0	0.0	54.0	44.0	223.0	229.0	32.0	26.0	13.0	9.0	671.0	118.0	112.0	505.0	464.0	542.0	40.0	370.0	106.0	105.0	33.0	36.0	9.0	6.0	36.0	29.0	15.0	8.0	294.0	276.0	420.0	137.0	114.0	170.0	150.0	83.0	59.0	58.0	15.0	13.0	123.0	560.0	253.0	358.0	875.0	640.0	6.0	6.0	112.0	102.0	95.0	25.0	21.0	43.0	49.0	50.0	133.0	114.0	15.0	8.0	138.0	125.0	83.0	86.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Auraticoccus; s__
203133	5.0	4.0	2.0	2.0	48.0	2.0	3.0	11.0	16.0	17.0	48.0	2.0	9.0	9.0	7.0	6.0	67.0	61.0	3.0	3.0	1.0	1.0	0.0	0.0	4.0	4.0	17.0	10.0	1.0	0.0	2.0	1.0	9.0	8.0	3.0	18.0	0.0	0.0	1.0	1.0	40.0	41.0	8.0	7.0	1.0	0.0	25.0	20.0	21.0	14.0	16.0	16.0	3.0	66.0	20.0	22.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	7.0	7.0	73.0	14.0	13.0	7.0	8.0	11.0	10.0	13.0	0.0	1.0	7.0	37.0	2132.0	91.0	26.0	63.0	0.0	0.0	43.0	17.0	15.0	0.0	0.0	10.0	15.0	13.0	0.0	0.0	0.0	0.0	12.0	8.0	51.0	49.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionimicrobium; s__
