# Constructed from biom file
#OTU ID	CAMDA2019_03TXLrIna_1_annon.fastq_bracken	CAMDA2019_03TXLrIna_2_annon.fastq_bracken	CAMDA2019_1Vapy1lcu_1_annon.fastq_bracken	CAMDA2019_1Vapy1lcu_2_annon.fastq_bracken	CAMDA2019_42XlKWBJx_annon.fastq_bracken	CAMDA2019_4GiLTLyqL_1_annon.fastq_bracken	CAMDA2019_4GiLTLyqL_2_annon.fastq_bracken	CAMDA2019_5KtJjcn26_annon.fastq_bracken	CAMDA2019_6K2P8XNab_1_annon.fastq_bracken	CAMDA2019_6K2P8XNab_2_annon.fastq_bracken	CAMDA2019_7Il968vhk_annon.fastq_bracken	CAMDA2019_9kW8J4Ev5_annon.fastq_bracken	CAMDA2019_9UxNkBsUB_1_annon.fastq_bracken	CAMDA2019_9UxNkBsUB_2_annon.fastq_bracken	CAMDA2019_A4Tkn3dX9_1_annon.fastq_bracken	CAMDA2019_A4Tkn3dX9_2_annon.fastq_bracken	CAMDA2019_ajObxR7P1_1_annon.fastq_bracken	CAMDA2019_ajObxR7P1_2_annon.fastq_bracken	CAMDA2019_B6hDSOaff_1_annon.fastq_bracken	CAMDA2019_B6hDSOaff_2_annon.fastq_bracken	CAMDA2019_bAPBY3AHh_1_annon.fastq_bracken	CAMDA2019_bAPBY3AHh_2_annon.fastq_bracken	CAMDA2019_c1SjrQHf7_1_annon.fastq_bracken	CAMDA2019_c1SjrQHf7_2_annon.fastq_bracken	CAMDA2019_cA45yrbCp_1_annon.fastq_bracken	CAMDA2019_cA45yrbCp_2_annon.fastq_bracken	CAMDA2019_cKL7xX3EZ_1_annon.fastq_bracken	CAMDA2019_cKL7xX3EZ_2_annon.fastq_bracken	CAMDA2019_CL1lI9nin_1_annon.fastq_bracken	CAMDA2019_CL1lI9nin_2_annon.fastq_bracken	CAMDA2019_F7waXDwRV_1_annon.fastq_bracken	CAMDA2019_F7waXDwRV_2_annon.fastq_bracken	CAMDA2019_fDcwHrLnA_1_annon.fastq_bracken	CAMDA2019_fDcwHrLnA_2_annon.fastq_bracken	CAMDA2019_FjWGW2m0N_annon.fastq_bracken	CAMDA2019_gBzRKJUuM_annon.fastq_bracken	CAMDA2019_hATTKoyv0_1_annon.fastq_bracken	CAMDA2019_hATTKoyv0_2_annon.fastq_bracken	CAMDA2019_hPJCTIwqO_1_annon.fastq_bracken	CAMDA2019_hPJCTIwqO_2_annon.fastq_bracken	CAMDA2019_HRyMKBUym_1_annon.fastq_bracken	CAMDA2019_HRyMKBUym_2_annon.fastq_bracken	CAMDA2019_IxiSbR8Vi_1_annon.fastq_bracken	CAMDA2019_IxiSbR8Vi_2_annon.fastq_bracken	CAMDA2019_K1IvsMwZ0_1_annon.fastq_bracken	CAMDA2019_K1IvsMwZ0_2_annon.fastq_bracken	CAMDA2019_KqVcbm3UA_annon.fastq_bracken	CAMDA2019_KRyPpwwID_1_annon.fastq_bracken	CAMDA2019_KRyPpwwID_2_annon.fastq_bracken	CAMDA2019_lpQTWz3am_1_annon.fastq_bracken	CAMDA2019_lpQTWz3am_2_annon.fastq_bracken	CAMDA2019_LPVcbq3pE_annon.fastq_bracken	CAMDA2019_LWrSv4rYd_annon.fastq_bracken	CAMDA2019_m6hxFn1Sb_annon.fastq_bracken	CAMDA2019_MFF61azo4_1_annon.fastq_bracken	CAMDA2019_MFF61azo4_2_annon.fastq_bracken	CAMDA2019_MspIkAOzT_1_annon.fastq_bracken	CAMDA2019_MspIkAOzT_2_annon.fastq_bracken	CAMDA2019_OHdXt0n93_1_annon.fastq_bracken	CAMDA2019_OHdXt0n93_2_annon.fastq_bracken	CAMDA2019_OSU080x0L_1_annon.fastq_bracken	CAMDA2019_OSU080x0L_2_annon.fastq_bracken	CAMDA2019_PoTC9MGmE_1_annon.fastq_bracken	CAMDA2019_PoTC9MGmE_2_annon.fastq_bracken	CAMDA2019_PZBrtdqbc_1_annon.fastq_bracken	CAMDA2019_PZBrtdqbc_2_annon.fastq_bracken	CAMDA2019_QKhKiZiNe_annon.fastq_bracken	CAMDA2019_QNO6ArzjQ_1_annon.fastq_bracken	CAMDA2019_QNO6ArzjQ_2_annon.fastq_bracken	CAMDA2019_qSkX1R2Gz_1_annon.fastq_bracken	CAMDA2019_qSkX1R2Gz_2_annon.fastq_bracken	CAMDA2019_RDEZTuFJ0_1_annon.fastq_bracken	CAMDA2019_RDEZTuFJ0_2_annon.fastq_bracken	CAMDA2019_rridyqqZl_annon.fastq_bracken	CAMDA2019_S12fkE31f_1_annon.fastq_bracken	CAMDA2019_S12fkE31f_2_annon.fastq_bracken	CAMDA2019_Srryjh9fm_annon.fastq_bracken	CAMDA2019_SuTczAky8_annon.fastq_bracken	CAMDA2019_TLo8GTgZS_annon.fastq_bracken	CAMDA2019_tm5oSy4uY_annon.fastq_bracken	CAMDA2019_TxgbavT9X_annon.fastq_bracken	CAMDA2019_uZFjEK4hm_annon.fastq_bracken	CAMDA2019_V8PJQlOng_1_annon.fastq_bracken	CAMDA2019_V8PJQlOng_2_annon.fastq_bracken	CAMDA2019_w3hK8f0sn_annon.fastq_bracken	CAMDA2019_wJsZolv7O_1_annon.fastq_bracken	CAMDA2019_wJsZolv7O_2_annon.fastq_bracken	CAMDA2019_Xianr4bpE_1_annon.fastq_bracken	CAMDA2019_Xianr4bpE_2_annon.fastq_bracken	CAMDA2019_y3hl8NLXD_annon.fastq_bracken	CAMDA2019_ya8Lwujnu_1_annon.fastq_bracken	CAMDA2019_ya8Lwujnu_2_annon.fastq_bracken	CAMDA2019_yDYzpI6z0_1_annon.fastq_bracken	CAMDA2019_yDYzpI6z0_2_annon.fastq_bracken	CAMDA2019_YwEqI6j3T_1_annon.fastq_bracken	CAMDA2019_YwEqI6j3T_2_annon.fastq_bracken	CAMDA2019_Z6k4utsJA_1_annon.fastq_bracken	CAMDA2019_Z6k4utsJA_2_annon.fastq_bracken	CAMDA2019_zEyFbEnFu_1_annon.fastq_bracken	CAMDA2019_zEyFbEnFu_2_annon.fastq_bracken	taxonomy
9606	1687013.0	1670231.0	817588.0	818900.0	3806415.0	1532873.0	1670843.0	983327.0	1699242.0	2156542.0	2459697.0	1375793.0	1443178.0	1460754.0	2448806.0	3060626.0	6037606.0	6153002.0	628436.0	628385.0	341171.0	407371.0	157081.0	256239.0	832058.0	826419.0	2346904.0	2577621.0	343086.0	332384.0	527873.0	674038.0	421407.0	684217.0	763323.0	3753116.0	97237.0	30928.0	368113.0	392258.0	994223.0	993039.0	1903785.0	1869553.0	448195.0	482831.0	1288409.0	2835832.0	2744233.0	2097669.0	2718695.0	2105830.0	835626.0	2865432.0	679424.0	734254.0	537861.0	602041.0	120392.0	169106.0	9380535.0	9316145.0	108958.0	191824.0	1641815.0	2078591.0	4145069.0	4181947.0	4316513.0	780527.0	799978.0	2743930.0	2931160.0	1712604.0	434189.0	479927.0	1545334.0	2775757.0	4381946.0	2053180.0	1058027.0	3477912.0	319381.0	289197.0	1278059.0	1268635.0	1370979.0	209704.0	280626.0	1196263.0	7783185.0	7736950.0	379259.0	782088.0	190937.0	194119.0	1041660.0	1025296.0	1775660.0	1857859.0	k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__sapiens
3988	615.0	530.0	1423.0	1501.0	1734.0	210.0	203.0	771.0	4234.0	10121.0	2056.0	12883.0	2221.0	2248.0	3981.0	4760.0	1672.0	1743.0	8620.0	8425.0	5284.0	5521.0	400.0	564.0	4102.0	4054.0	3418.0	3618.0	12221.0	12306.0	1406.0	1892.0	1369.0	1697.0	16563.0	4433.0	129.0	95.0	1262.0	1234.0	2711.0	2681.0	203.0	223.0	512.0	486.0	876.0	190.0	187.0	2702.0	3379.0	1155.0	3100.0	4622.0	2857.0	2712.0	584.0	646.0	701.0	868.0	413.0	398.0	1271.0	1929.0	6141.0	7667.0	1655.0	2580.0	2666.0	4926.0	4902.0	1667.0	1647.0	899.0	388.0	402.0	2465.0	1794.0	2083.0	1915.0	1467.0	2155.0	557.0	509.0	1228.0	1423.0	1543.0	1816.0	4018.0	3674.0	1155.0	1139.0	4135.0	6213.0	198.0	212.0	1425.0	1219.0	1171.0	1139.0	k__Eukaryota; p__Streptophyta; c__; o__Malpighiales; f__Euphorbiaceae; g__Ricinus; s__communis
1747	97951.0	90314.0	51167.0	47814.0	478252.0	15124.0	14680.0	168591.0	41858.0	40345.0	209343.0	6140.0	63891.0	62631.0	7549.0	6899.0	981885.0	953129.0	8154.0	6137.0	10588.0	9835.0	1187.0	1088.0	67751.0	65733.0	187200.0	180812.0	36906.0	34981.0	6640.0	5201.0	100627.0	98145.0	5319.0	104099.0	1190.0	1107.0	34210.0	32598.0	359635.0	351741.0	263707.0	256028.0	31695.0	30807.0	40820.0	25132.0	23932.0	61256.0	60109.0	194293.0	166973.0	245997.0	487974.0	476728.0	8110.0	7848.0	8793.0	1215.0	18117.0	17597.0	5212.0	1302.0	34368.0	33558.0	148397.0	357917.0	348257.0	144926.0	141883.0	206792.0	200716.0	353331.0	20209.0	19522.0	10606.0	366554.0	289987.0	289014.0	73863.0	290715.0	2179.0	2023.0	80136.0	206344.0	201623.0	11299.0	9527.0	199239.0	367526.0	358560.0	24267.0	21971.0	6182.0	6002.0	316256.0	309032.0	96214.0	91839.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__acnes
33011	1722.0	1541.0	3896.0	3713.0	2890.0	382.0	375.0	6769.0	1786.0	1707.0	3287.0	193.0	1378.0	1336.0	229.0	213.0	23482.0	22269.0	224.0	163.0	379.0	335.0	44.0	41.0	2796.0	2697.0	7319.0	6935.0	1112.0	1045.0	346.0	323.0	2019.0	1954.0	241.0	5027.0	32.0	28.0	674.0	622.0	14829.0	14330.0	10020.0	9585.0	1108.0	1066.0	866.0	811.0	772.0	2923.0	2858.0	2853.0	3106.0	3736.0	9116.0	8801.0	336.0	325.0	179.0	24.0	778.0	757.0	131.0	31.0	1873.0	1808.0	4048.0	10767.0	10282.0	4450.0	4309.0	6553.0	6285.0	12740.0	706.0	656.0	276.0	5994.0	5882.0	3779.0	2049.0	3962.0	72.0	65.0	1504.0	7659.0	7427.0	216.0	176.0	8240.0	10573.0	10183.0	640.0	563.0	127.0	117.0	10866.0	10518.0	2436.0	2243.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__granulosum
33010	280.0	227.0	308.0	279.0	662.0	50.0	46.0	750.0	158.0	161.0	932.0	57.0	122.0	118.0	97.0	96.0	1740.0	1648.0	39.0	30.0	56.0	49.0	6.0	7.0	361.0	342.0	606.0	572.0	95.0	92.0	32.0	29.0	338.0	317.0	151.0	555.0	8.0	7.0	101.0	93.0	1146.0	1138.0	805.0	768.0	106.0	106.0	274.0	1366.0	1311.0	295.0	279.0	454.0	429.0	820.0	473.0	462.0	71.0	66.0	44.0	3.0	90.0	88.0	28.0	2.0	206.0	196.0	974.0	978.0	942.0	356.0	356.0	552.0	520.0	942.0	52.0	49.0	109.0	1032.0	1504.0	1171.0	419.0	1539.0	13.0	13.0	392.0	803.0	758.0	26.0	16.0	1415.0	962.0	917.0	58.0	46.0	28.0	30.0	1039.0	1005.0	295.0	265.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__avidum
671223	3354.0	3212.0	244.0	176.0	4978.0	1454.0	1393.0	7311.0	95.0	94.0	1209.0	43.0	256.0	255.0	455.0	377.0	4119.0	3965.0	43.0	28.0	81.0	78.0	139.0	126.0	1370.0	1333.0	361.0	347.0	82.0	69.0	122.0	115.0	397.0	388.0	18.0	117.0	76.0	70.0	131.0	119.0	870.0	860.0	455.0	435.0	119.0	122.0	210.0	28.0	25.0	90.0	94.0	931.0	8438.0	1319.0	538.0	519.0	245.0	229.0	173.0	25.0	31.0	26.0	108.0	21.0	64.0	63.0	1214.0	1122.0	1091.0	885.0	864.0	624.0	594.0	824.0	38.0	36.0	32.0	2789.0	8085.0	3540.0	494.0	2906.0	775.0	763.0	799.0	1375.0	1342.0	109.0	71.0	3156.0	1428.0	1362.0	195.0	171.0	26.0	24.0	1341.0	1293.0	275.0	260.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__sp. oral taxon 193
1744	35.0	34.0	96.0	85.0	310.0	8.0	9.0	57.0	81.0	78.0	303.0	4009.0	38.0	36.0	223.0	224.0	197.0	184.0	83.0	74.0	153.0	148.0	7.0	7.0	182.0	164.0	784.0	683.0	73.0	70.0	20.0	21.0	86.0	75.0	273.0	112.0	7.0	10.0	95.0	101.0	336.0	339.0	65.0	68.0	70.0	60.0	700.0	774.0	720.0	172.0	164.0	359.0	179.0	310.0	165.0	154.0	38.0	35.0	9.0	0.0	14.0	9.0	2.0	1.0	176.0	153.0	662.0	259.0	253.0	96.0	97.0	145.0	130.0	225.0	29.0	27.0	456.0	459.0	439.0	460.0	506.0	265.0	11.0	15.0	201.0	1412.0	1374.0	16.0	17.0	185.0	126.0	111.0	24.0	17.0	20.0	21.0	330.0	336.0	184.0	180.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__freudenreichii
556499	20.0	6.0	194.0	190.0	142.0	12.0	10.0	28.0	50.0	57.0	216.0	48.0	180.0	174.0	190.0	189.0	526.0	498.0	7.0	14.0	41.0	40.0	12.0	13.0	54.0	48.0	179.0	171.0	31.0	25.0	3.0	2.0	46.0	46.0	75.0	183.0	0.0	0.0	21.0	19.0	201.0	191.0	54.0	55.0	68.0	67.0	105.0	20.0	20.0	348.0	345.0	123.0	1127.0	54.0	122.0	123.0	151.0	150.0	6.0	1.0	29.0	30.0	10.0	4.0	59.0	53.0	109.0	244.0	238.0	379.0	383.0	936.0	888.0	3014.0	23.0	20.0	75.0	224.0	226.0	127.0	269.0	124.0	4.0	3.0	62.0	363.0	353.0	10.0	6.0	83.0	273.0	259.0	164.0	157.0	1.0	1.0	204.0	199.0	118.0	101.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__acidifaciens
399497	53.0	38.0	134.0	137.0	253.0	27.0	28.0	136.0	206.0	187.0	285.0	367.0	83.0	80.0	366.0	356.0	398.0	390.0	60.0	47.0	298.0	281.0	13.0	12.0	399.0	391.0	1516.0	1395.0	79.0	70.0	10.0	7.0	104.0	103.0	441.0	182.0	2.0	4.0	42.0	33.0	245.0	255.0	30.0	24.0	125.0	109.0	438.0	275.0	261.0	279.0	255.0	346.0	183.0	181.0	93.0	102.0	87.0	93.0	11.0	2.0	30.0	32.0	21.0	9.0	333.0	311.0	363.0	609.0	545.0	121.0	104.0	331.0	297.0	487.0	65.0	54.0	1011.0	323.0	336.0	290.0	321.0	265.0	22.0	23.0	158.0	107.0	97.0	35.0	22.0	414.0	335.0	305.0	22.0	12.0	69.0	65.0	345.0	338.0	275.0	236.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__flavescens
2161816	41.0	41.0	172.0	151.0	182.0	8.0	7.0	72.0	42.0	41.0	261.0	33.0	40.0	36.0	71.0	68.0	290.0	271.0	22.0	21.0	46.0	37.0	1.0	1.0	186.0	181.0	208.0	181.0	19.0	15.0	7.0	3.0	124.0	122.0	78.0	58.0	0.0	1.0	37.0	43.0	228.0	215.0	52.0	59.0	23.0	22.0	201.0	339.0	308.0	112.0	99.0	183.0	55.0	762.0	83.0	79.0	17.0	14.0	3.0	0.0	6.0	8.0	2.0	0.0	49.0	51.0	251.0	161.0	151.0	128.0	122.0	195.0	195.0	132.0	22.0	25.0	113.0	280.0	403.0	524.0	165.0	161.0	4.0	5.0	551.0	54.0	58.0	15.0	18.0	375.0	121.0	117.0	8.0	9.0	20.0	23.0	160.0	144.0	59.0	48.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus; s__sp. Marseille-P5995
