ID	Batch	ID2	City	ID3	City2	contin
csd16_AKL.001	csd16	AKL.001	AKL	001	AKL	Oceania
csd16_AKL.002	csd16	AKL.002	AKL	002	AKL	Oceania
csd16_AKL.003	csd16	AKL.003	AKL	003	AKL	Oceania
csd16_AKL.004	csd16	AKL.004	AKL	004	AKL	Oceania
csd16_AKL.005	csd16	AKL.005	AKL	005	AKL	Oceania
csd16_AKL.006	csd16	AKL.006	AKL	006	AKL	Oceania
csd16_AKL.007	csd16	AKL.007	AKL	007	AKL	Oceania
csd16_AKL.008	csd16	AKL.008	AKL	008	AKL	Oceania
csd16_AKL.009	csd16	AKL.009	AKL	009	AKL	Oceania
csd16_AKL.010	csd16	AKL.010	AKL	010	AKL	Oceania
csd16_AKL.011	csd16	AKL.011	AKL	011	AKL	Oceania
csd16_AKL.012	csd16	AKL.012	AKL	012	AKL	Oceania
csd16_AKL.013	csd16	AKL.013	AKL	013	AKL	Oceania
csd16_AKL.014	csd16	AKL.014	AKL	014	AKL	Oceania
csd16_BER.001	csd16	BER.001	BER	001	BER	Europe
csd16_BER.002	csd16	BER.002	BER	002	BER	Europe
csd16_BER.003	csd16	BER.003	BER	003	BER	Europe
csd16_BER.004	csd16	BER.004	BER	004	BER	Europe
csd16_BER.005	csd16	BER.005	BER	005	BER	Europe
csd16_BER.006	csd16	BER.006	BER	006	BER	Europe
csd16_BER.007	csd16	BER.007	BER	007	BER	Europe
csd16_BER.008	csd16	BER.008	BER	008	BER	Europe
csd16_BER.009	csd16	BER.009	BER	009	BER	Europe
csd16_BER.010	csd16	BER.010	BER	010	BER	Europe
csd16_BER.011	csd16	BER.011	BER	011	BER	Europe
csd16_BER.012	csd16	BER.012	BER	012	BER	Europe
csd16_BER.013	csd16	BER.013	BER	013	BER	Europe
csd16_BER.014	csd16	BER.014	BER	014	BER	Europe
csd16_BER.015	csd16	BER.015	BER	015	BER	Europe
csd16_BER.016	csd16	BER.016	BER	016	BER	Europe
csd16_BER.017	csd16	BER.017	BER	017	BER	Europe
csd16_BER.018	csd16	BER.018	BER	018	BER	Europe
csd16_BER.019	csd16	BER.019	BER	019	BER	Europe
csd16_BER.020	csd16	BER.020	BER	020	BER	Europe
csd16_BER.021	csd16	BER.021	BER	021	BER	Europe
csd16_BOG.001	csd16	BOG.001	BOG	001	BOG	SouthA
csd16_BOG.003	csd16	BOG.003	BOG	003	BOG	SouthA
csd16_BOG.005	csd16	BOG.005	BOG	005	BOG	SouthA
csd16_BOG.006	csd16	BOG.006	BOG	006	BOG	SouthA
csd16_BOG.009	csd16	BOG.009	BOG	009	BOG	SouthA
csd16_BOG.010	csd16	BOG.010	BOG	010	BOG	SouthA
csd16_BOG.011	csd16	BOG.011	BOG	011	BOG	SouthA
csd16_BOG.012	csd16	BOG.012	BOG	012	BOG	SouthA
csd16_BOG.013	csd16	BOG.013	BOG	013	BOG	SouthA
csd16_BOG.014	csd16	BOG.014	BOG	014	BOG	SouthA
csd16_BOG.015	csd16	BOG.015	BOG	015	BOG	SouthA
csd16_HAM.001	csd16	HAM.001	HAM	001	HAM	Oceania
csd16_HAM.002	csd16	HAM.002	HAM	002	HAM	Oceania
csd16_HAM.003	csd16	HAM.003	HAM	003	HAM	Oceania
csd16_HAM.004	csd16	HAM.004	HAM	004	HAM	Oceania
csd16_HAM.005	csd16	HAM.005	HAM	005	HAM	Oceania
csd16_HAM.006	csd16	HAM.006	HAM	006	HAM	Oceania
csd16_HAM.007	csd16	HAM.007	HAM	007	HAM	Oceania
csd16_HAM.008	csd16	HAM.008	HAM	008	HAM	Oceania
csd16_HAM.009	csd16	HAM.009	HAM	009	HAM	Oceania
csd16_HAM.010	csd16	HAM.010	HAM	010	HAM	Oceania
csd16_HAM.011	csd16	HAM.011	HAM	011	HAM	Oceania
csd16_HAM.012	csd16	HAM.012	HAM	012	HAM	Oceania
csd16_HAM.013	csd16	HAM.013	HAM	013	HAM	Oceania
csd16_HAM.014	csd16	HAM.014	HAM	014	HAM	Oceania
csd16_HAM.015	csd16	HAM.015	HAM	015	HAM	Oceania
csd16_HAM.016	csd16	HAM.016	HAM	016	HAM	Oceania
csd16_ILR.001	csd16	ILR.001	ILR	001	ILR	Africa
csd16_ILR.002	csd16	ILR.002	ILR	002	ILR	Africa
csd16_ILR.003	csd16	ILR.003	ILR	003	ILR	Africa
csd16_ILR.004	csd16	ILR.004	ILR	004	ILR	Africa
csd16_ILR.005	csd16	ILR.005	ILR	005	ILR	Africa
csd16_ILR.006	csd16	ILR.006	ILR	006	ILR	Africa
csd16_ILR.007	csd16	ILR.007	ILR	007	ILR	Africa
csd16_ILR.008	csd16	ILR.008	ILR	008	ILR	Africa
csd16_ILR.009	csd16	ILR.009	ILR	009	ILR	Africa
csd16_ILR.010	csd16	ILR.010	ILR	010	ILR	Africa
csd16_ILR.011	csd16	ILR.011	ILR	011	ILR	Africa
csd16_ILR.012	csd16	ILR.012	ILR	012	ILR	Africa
csd16_ILR.013	csd16	ILR.013	ILR	013	ILR	Africa
csd16_ILR.014	csd16	ILR.014	ILR	014	ILR	Africa
csd16_ILR.015	csd16	ILR.015	ILR	015	ILR	Africa
csd16_ILR.016	csd16	ILR.016	ILR	016	ILR	Africa
csd16_ILR.017	csd16	ILR.017	ILR	017	ILR	Africa
csd16_ILR.018	csd16	ILR.018	ILR	018	ILR	Africa
csd16_ILR.019	csd16	ILR.019	ILR	019	ILR	Africa
csd16_ILR.020	csd16	ILR.020	ILR	020	ILR	Africa
csd16_ILR.021	csd16	ILR.021	ILR	021	ILR	Africa
csd16_ILR.022	csd16	ILR.022	ILR	022	ILR	Africa
csd16_ILR.023	csd16	ILR.023	ILR	023	ILR	Africa
csd16_ILR.024	csd16	ILR.024	ILR	024	ILR	Africa
csd16_NYC.001	csd16	NYC.001	NYC	001	NYC	NorthA
csd16_NYC.002	csd16	NYC.002	NYC	002	NYC	NorthA
csd16_NYC.003	csd16	NYC.003	NYC	003	NYC	NorthA
csd16_NYC.004	csd16	NYC.004	NYC	004	NYC	NorthA
csd16_NYC.006	csd16	NYC.006	NYC	006	NYC	NorthA
csd16_NYC.007	csd16	NYC.007	NYC	007	NYC	NorthA
csd16_NYC.008	csd16	NYC.008	NYC	008	NYC	NorthA
csd16_NYC.009	csd16	NYC.009	NYC	009	NYC	NorthA
csd16_NYC.010	csd16	NYC.010	NYC	010	NYC	NorthA
csd16_NYC.011	csd16	NYC.011	NYC	011	NYC	NorthA
csd16_NYC.012	csd16	NYC.012	NYC	012	NYC	NorthA
csd16_NYC.013	csd16	NYC.013	NYC	013	NYC	NorthA
csd16_NYC.014	csd16	NYC.014	NYC	014	NYC	NorthA
csd16_NYC.015	csd16	NYC.015	NYC	015	NYC	NorthA
csd16_NYC.016	csd16	NYC.016	NYC	016	NYC	NorthA
csd16_NYC.017	csd16	NYC.017	NYC	017	NYC	NorthA
csd16_NYC.018	csd16	NYC.018	NYC	018	NYC	NorthA
csd16_NYC.019	csd16	NYC.019	NYC	019	NYC	NorthA
csd16_NYC.020	csd16	NYC.020	NYC	020	NYC	NorthA
csd16_NYC.021	csd16	NYC.021	NYC	021	NYC	NorthA
csd16_NYC.022	csd16	NYC.022	NYC	022	NYC	NorthA
csd16_NYC.023	csd16	NYC.023	NYC	023	NYC	NorthA
csd16_NYC.024	csd16	NYC.024	NYC	024	NYC	NorthA
csd16_NYC.025	csd16	NYC.025	NYC	025	NYC	NorthA
csd16_NYC.026	csd16	NYC.026	NYC	026	NYC	NorthA
csd16_OFA.001	csd16	OFA.001	OFA	001	OFA	Africa
csd16_OFA.002	csd16	OFA.002	OFA	002	OFA	Africa
csd16_OFA.003	csd16	OFA.003	OFA	003	OFA	Africa
csd16_OFA.004	csd16	OFA.004	OFA	004	OFA	Africa
csd16_OFA.005	csd16	OFA.005	OFA	005	OFA	Africa
csd16_OFA.006	csd16	OFA.006	OFA	006	OFA	Africa
csd16_OFA.007	csd16	OFA.007	OFA	007	OFA	Africa
csd16_OFA.009	csd16	OFA.009	OFA	009	OFA	Africa
csd16_OFA.010	csd16	OFA.010	OFA	010	OFA	Africa
csd16_OFA.011	csd16	OFA.011	OFA	011	OFA	Africa
csd16_OFA.012	csd16	OFA.012	OFA	012	OFA	Africa
csd16_OFA.013	csd16	OFA.013	OFA	013	OFA	Africa
csd16_OFA.014	csd16	OFA.014	OFA	014	OFA	Africa
csd16_OFA.015	csd16	OFA.015	OFA	015	OFA	Africa
csd16_OFA.016	csd16	OFA.016	OFA	016	OFA	Africa
csd16_OFA.017	csd16	OFA.017	OFA	017	OFA	Africa
csd16_OFA.018	csd16	OFA.018	OFA	018	OFA	Africa
csd16_OFA.019	csd16	OFA.019	OFA	019	OFA	Africa
csd16_OFA.020	csd16	OFA.020	OFA	020	OFA	Africa
csd16_TOK.001	csd16	TOK.001	TOK	001	TOK	Asia
csd16_TOK.002	csd16	TOK.002	TOK	002	TOK	Asia
csd16_TOK.003	csd16	TOK.003	TOK	003	TOK	Asia
csd16_TOK.004	csd16	TOK.004	TOK	004	TOK	Asia
csd16_TOK.005	csd16	TOK.005	TOK	005	TOK	Asia
csd16_TOK.006	csd16	TOK.006	TOK	006	TOK	Asia
csd16_TOK.007	csd16	TOK.007	TOK	007	TOK	Asia
csd16_TOK.008	csd16	TOK.008	TOK	008	TOK	Asia
csd16_TOK.010	csd16	TOK.010	TOK	010	TOK	Asia
csd16_TOK.013	csd16	TOK.013	TOK	013	TOK	Asia
csd16_TOK.016	csd16	TOK.016	TOK	016	TOK	Asia
csd16_TOK.017	csd16	TOK.017	TOK	017	TOK	Asia
csd16_TOK.018	csd16	TOK.018	TOK	018	TOK	Asia
csd16_TOK.019	csd16	TOK.019	TOK	019	TOK	Asia
csd16_TOK.020	csd16	TOK.020	TOK	020	TOK	Asia
csd16_TOK.021	csd16	TOK.021	TOK	021	TOK	Asia
csd16_TOK.022	csd16	TOK.022	TOK	022	TOK	Asia
csd16_TOK.023	csd16	TOK.023	TOK	023	TOK	Asia
csd16_TOK.024	csd16	TOK.024	TOK	024	TOK	Asia
csd16_TOK.025	csd16	TOK.025	TOK	025	TOK	Asia
csd17_HGK.001	csd17	HGK.001	HGK	001	HGK	Asia
csd17_HGK.002	csd17	HGK.002	HGK	002	HGK	Asia
csd17_HGK.003	csd17	HGK.003	HGK	003	HGK	Asia
csd17_HGK.004	csd17	HGK.004	HGK	004	HGK	Asia
csd17_HGK.005	csd17	HGK.005	HGK	005	HGK	Asia
csd17_HGK.006	csd17	HGK.006	HGK	006	HGK	Asia
csd17_HGK.007	csd17	HGK.007	HGK	007	HGK	Asia
csd17_HGK.008	csd17	HGK.008	HGK	008	HGK	Asia
csd17_HGK.009	csd17	HGK.009	HGK	009	HGK	Asia
csd17_HGK.010	csd17	HGK.010	HGK	010	HGK	Asia
csd17_HGK.011	csd17	HGK.011	HGK	011	HGK	Asia
csd17_HGK.012	csd17	HGK.012	HGK	012	HGK	Asia
csd17_HGK.013	csd17	HGK.013	HGK	013	HGK	Asia
csd17_HGK.014	csd17	HGK.014	HGK	014	HGK	Asia
csd17_HGK.015	csd17	HGK.015	HGK	015	HGK	Asia
csd17_HGK.016	csd17	HGK.016	HGK	016	HGK	Asia
csd17_HGK.017	csd17	HGK.017	HGK	017	HGK	Asia
